timestamp,log_level,Text Size (bits),SMC Ratio,SMC + Huffman Ratio,Huffman Ratio,Gzip Ratio,Zstd Ratio
2023-08-27 16:11:10,593,INFO,464,0.500000,0.327586,-0.342672,-0.379310,-0.155172
2023-08-27 16:11:10,594,INFO,288,0.500000,0.305556,-0.361111,-0.611111,-0.250000
2023-08-27 16:11:10,595,INFO,336,0.571429,0.452381,-0.357143,-0.571429,-0.214286
2023-08-27 16:11:10,596,INFO,512,0.546875,0.453125,-0.222656,-0.296875,-0.046875
2023-08-27 16:11:10,597,INFO,240,0.466667,0.233333,-0.616667,-0.833333,-0.300000
2023-08-27 16:11:10,598,INFO,224,0.392857,-0.107143,-0.625000,-0.892857,-0.321429
2023-08-27 16:11:10,599,INFO,200,0.200000,-0.680000,-0.960000,-1.000000,-0.360000
2023-08-27 16:11:10,600,INFO,432,0.444444,0.185185,-0.351852,-0.296296,-0.111111
2023-08-27 16:11:10,603,INFO,560,0.385714,-0.114286,-0.353571,-0.228571,-0.128571
2023-08-27 16:11:10,604,INFO,312,0.564103,0.384615,-0.685897,-0.641026,-0.230769
2023-08-27 16:11:10,605,INFO,288,0.138889,-0.888889,-0.868056,-0.694444,-0.250000
2023-08-27 16:11:10,606,INFO,432,0.481481,0.259259,-0.303241,-0.425926,-0.166667
2023-08-27 16:11:10,607,INFO,136,0.470588,-0.058824,-0.948529,-1.470588,-0.529412
2023-08-27 16:11:10,607,INFO,32,-0.250000,-2.000000,-1.500000,-6.250000,-2.250000
2023-08-27 16:11:10,608,INFO,32,-0.250000,-2.000000,-1.500000,-6.250000,-2.250000
2023-08-27 16:11:10,609,INFO,304,0.500000,0.263158,-0.575658,-0.578947,-0.236842
2023-08-27 16:11:10,610,INFO,248,0.548387,0.322581,-0.588710,-0.806452,-0.290323
2023-08-27 16:11:10,611,INFO,360,0.444444,0.177778,-0.597222,-0.533333,-0.200000
2023-08-27 16:11:10,613,INFO,408,0.509804,0.352941,-0.463235,-0.392157,-0.176471
2023-08-27 16:11:10,614,INFO,552,0.420290,0.101449,-0.405797,-0.304348,-0.057971
2023-08-27 16:11:10,615,INFO,184,0.478261,0.260870,-0.760870,-1.086957,-0.391304
2023-08-27 16:11:10,617,INFO,688,0.395349,-0.011628,-0.184593,-0.151163,0.058140
2023-08-27 16:11:10,620,INFO,816,0.509804,0.137255,-0.115196,-0.039216,0.098039
2023-08-27 16:11:10,621,INFO,328,0.390244,-0.073171,-0.567073,-0.609756,-0.219512
2023-08-27 16:11:10,622,INFO,352,0.477273,0.204545,-0.556818,-0.568182,-0.204545
2023-08-27 16:11:10,625,INFO,824,0.533981,0.339806,-0.111650,-0.058252,0.116505
2023-08-27 16:11:10,626,INFO,520,0.523077,0.323077,-0.342308,-0.338462,-0.138462
2023-08-27 16:11:10,627,INFO,160,0.450000,-0.050000,-1.087500,-1.250000,-0.450000
2023-08-27 16:11:10,627,INFO,32,-0.250000,-2.000000,-1.500000,-6.250000,-2.250000
2023-08-27 16:11:10,628,INFO,216,0.370370,-0.259259,-1.032407,-0.925926,-0.333333
2023-08-27 16:11:10,631,INFO,608,0.460526,0.052632,-0.399671,-0.250000,-0.026316
2023-08-27 16:11:10,633,INFO,664,0.457831,0.144578,-0.230422,-0.192771,0.012048
